subjectid,gender,height,weight,handedness,age,race,height_tercile,age_tercile
10027,male,177.6,81.5,right,41,white,3,3
10032,male,170.2,72.6,left,35,white,2,3
10033,male,173.5,92.9,left,42,black,2,3
10092,male,165.5,79.4,right,31,white,1,2
10093,male,191.4,94.6,right,21,black,3,1
10115,male,172,80.2,right,39,white,2,3
10117,male,181,116.2,right,32,black,3,2
10237,male,185,95.4,right,23,white,3,1
10242,male,177.7,99.5,right,36,white,3,3
10244,male,181.1,70.2,left,23,white,3,1
10246,male,178,88.2,right,32,white,3,2
10260,male,173.3,70.1,either,28,white,2,2
10265,male,181.4,103.7,right,36,black,3,3
10272,male,186.1,111.6,right,26,white,3,2
10286,male,170.9,89.6,right,22,white,2,1
10293,male,174,92.4,right,38,black,2,3
10303,male,169.4,77.9,right,26,white,2,2
10304,male,176.6,96.9,right,34,white,3,3
10305,male,174.8,76,right,31,white,2,2
10310,male,179.4,90.8,right,32,white,3,2
10312,male,178,71.4,right,28,white,3,2
10319,male,168,74.6,right,24,hispanic,2,1
10338,male,165.3,79.2,right,23,white,1,1
10339,male,195.9,91.5,right,26,black,3,2
10340,male,175.5,96.5,right,33,white,2,3
10341,male,163,67.5,right,32,hispanic,1,2
10349,male,182.5,107.3,left,30,white,3,2
10354,male,179.5,79.3,right,36,white,3,3
10358,male,174.5,78.2,right,25,hispanic,2,2
10361,male,181.8,88.2,right,33,white,3,3
10367,male,188.1,71.5,right,21,white,3,1
10368,male,176,94.7,left,47,hispanic,3,3
10371,male,167.5,66.5,right,37,hispanic,1,3
10385,male,185.2,87.9,right,27,white,3,2
10389,male,178.5,67.5,right,20,white,3,1
10404,male,179.1,88.4,right,30,white,3,2
10406,male,168.5,69.5,left,20,white,2,1
10419,male,185,121.8,right,30,white,3,2
10422,male,173.7,71.9,right,30,black,2,2
10423,male,174.3,88.1,right,26,white,2,2
10427,male,174.4,57.5,right,25,white,2,2
10447,male,167.9,87.6,right,44,hispanic,2,3
10451,male,183.6,85,right,19,white,3,1
10460,male,173,86.5,right,24,hispanic,2,1
10467,male,176.2,95.8,right,33,white,3,3
10471,male,166.9,66.7,right,21,asian,1,1
10473,male,174,70.6,right,29,white,2,2
10482,male,170.9,84.7,right,31,white,2,2
10495,male,187.9,101.3,right,39,white,3,3
10497,male,167.4,85.6,right,40,white,1,3
10510,male,177.9,109.5,right,39,white,3,3
10515,male,184.4,83.4,right,35,white,3,3
10517,male,163.7,72.7,right,35,white,1,3
10523,male,175.4,98.6,right,24,white,2,1
10524,male,170.4,77.3,right,31,white,2,2
10525,male,184,140,right,33,white,3,3
10529,male,178.3,67.4,right,26,black,3,2
10533,male,174.8,88.4,left,28,white,2,2
10534,male,170.3,98.8,right,40,native_american,2,3
10553,male,185.2,95.2,right,35,white,3,3
10557,male,160.9,56.6,right,26,asian,1,2
10558,male,170.9,71.7,right,33,white,2,3
10564,male,183.5,71.7,left,27,white,3,2
10577,male,167.9,80.2,right,43,white,2,3
10579,male,174.2,98.8,right,28,white,2,2
10581,male,169.8,66.2,right,32,hispanic,2,2
10582,male,167.1,80.7,right,28,hispanic,1,2
10586,male,185,105.3,right,26,white,3,2
10587,male,175.4,68.3,right,27,white,2,2
10597,male,161.9,74.9,right,39,black,1,3
10599,male,177.2,73.8,right,26,white,3,2
10601,male,170.5,60.4,right,28,black,2,2
10614,male,161.9,77.4,right,39,hispanic,1,3
10615,male,172.6,76.8,left,22,white,2,1
10616,male,184,102.2,right,26,white,3,2
10621,male,174.3,96.3,right,45,white,2,3
10622,male,167.4,92.3,right,39,hispanic,1,3
10624,male,175,98.8,right,40,black,2,3
10631,male,181.9,88.7,right,23,black,3,1
10632,male,179.9,98.7,right,19,black,3,1
10638,male,175,85.2,right,21,white,2,1
10639,male,172.3,74.8,right,27,white,2,2
10646,male,180.9,92,right,41,white,3,3
10648,male,179.1,74.4,right,33,white,3,3
10652,male,172.3,82.3,left,35,hispanic,2,3
10662,male,157.8,62.7,right,21,white,1,1
10667,male,171.8,77.8,right,24,white,2,1
10670,male,179.9,88.2,right,34,white,3,3
10672,male,174,59,right,19,white,2,1
10674,male,170.2,73,left,24,white,2,1
10677,male,173.7,86.4,right,29,white,2,2
10679,male,173,86.6,right,24,white,2,1
10680,male,178.5,73.7,right,23,white,3,1
10687,male,181.7,65.4,right,19,white,3,1
10689,male,184.3,69.6,right,21,white,3,1
10692,male,179.1,77.5,right,21,white,3,1
10694,male,165.7,72.7,right,22,white,1,1
10695,male,170.1,79.7,right,26,white,2,2
10696,male,178.6,74.4,right,20,white,3,1
10701,male,175.5,96.8,right,27,white,2,2
10704,male,179.1,86.6,right,44,white,3,3
10705,male,175.9,74.2,left,19,white,3,1
10707,male,179,92,right,29,white,3,2
10710,male,178.2,81.4,right,22,white,3,1
10712,male,183.9,64.6,right,28,white,3,2
10713,male,188,95.4,right,31,white,3,2
10716,male,173.8,85.3,right,28,white,2,2
10720,male,173.4,90,left,31,white,2,2
10721,male,181.9,83.5,right,34,black,3,3
10735,male,168.3,85.1,right,30,white,2,2
10736,male,181.5,89.7,right,31,hispanic,3,2
10737,male,181.5,87.2,right,42,asian,3,3
10740,male,167.3,82.2,right,40,white,1,3
10746,male,183.1,111.2,right,28,white,3,2
10747,male,179.5,98.7,left,48,white,3,3
10748,male,184.5,110.5,right,29,white,3,2
10749,male,168.7,78.2,right,32,white,2,2
10756,male,175.6,86.9,right,30,white,2,2
10761,male,184.6,141.3,right,28,hispanic,3,2
10762,male,165.7,78.9,right,21,hispanic,1,1
10770,male,163.2,69,right,20,asian,1,1
10777,male,173.5,79.2,right,29,white,2,2
10779,male,172.6,69.9,right,34,hispanic,2,3
10781,male,187.7,121.2,right,46,white,3,3
10783,male,188.7,87.8,right,38,white,3,3
10788,male,176.5,70.6,right,39,white,3,3
10790,male,179.3,82.2,left,26,black,3,2
10794,male,184.9,99.2,right,24,black,3,1
10801,male,181.1,76,right,41,white,3,3
10803,male,173.9,98.8,right,38,white,2,3
10808,male,166.8,75.9,right,24,white,1,1
10812,male,178.8,89.8,right,19,white,3,1
10814,male,174.6,78.2,right,31,black,2,2
10816,male,175,83.1,right,36,white,2,3
10817,male,181,99.6,right,24,white,3,1
10818,male,171,74.2,right,33,asian,2,3
10821,male,184.7,96.8,right,31,white,3,2
10823,male,181.1,91.6,right,27,white,3,2
10825,male,178,108,right,40,black,3,3
10826,male,174,78.8,right,33,white,2,3
10827,male,179.7,94.9,right,31,white,3,2
10829,male,175.5,90.6,right,23,white,2,1
10832,male,184.2,106.9,left,29,white,3,2
10833,male,165.6,87.4,right,24,hispanic,1,1
10838,male,177.6,87.9,right,26,white,3,2
10840,male,185.9,115.4,left,32,white,3,2
10843,male,168.5,79,right,22,white,2,1
10845,male,177.5,88.7,right,21,white,3,1
10846,male,182.5,86.6,right,26,black,3,2
10848,male,193.1,80.6,right,21,white,3,1
10851,male,178.9,96.6,left,26,white,3,2
10852,male,181.9,109.9,right,36,black,3,3
10853,male,178.2,77.1,right,34,white,3,3
10855,male,172.1,95.1,right,23,white,2,1
10859,male,191,111.8,right,33,black,3,3
10863,male,180.4,89.5,right,30,white,3,2
10869,male,178.2,106,right,33,white,3,3
10870,male,177.7,95.1,right,22,hispanic,3,1
10890,male,166.5,72.1,right,42,hispanic,1,3
10894,male,180.3,87.2,right,38,white,3,3
10899,male,187.9,97.8,right,32,black,3,2
10900,male,173.3,97.4,right,30,white,2,2
10908,male,183.5,95.8,right,38,white,3,3
10914,male,179.2,112.3,right,25,pacific_islander,3,2
10922,male,172.1,90,right,39,white,2,3
10923,male,171.1,94.8,either,27,hispanic,2,2
10933,male,180.9,95,right,32,white,3,2
10944,male,166.4,73.9,right,19,hispanic,1,1
10968,male,180.7,103.6,right,40,white,3,3
10971,male,170.5,77.7,right,26,white,2,2
10977,male,195.5,108,right,33,white,3,3
10981,male,173,84,right,30,hispanic,2,2
10994,male,177.4,96.4,right,41,white,3,3
11011,male,172.4,70.7,right,32,white,2,2
11022,male,170.5,70.5,right,31,black,2,2
11028,male,183.8,85.1,right,36,white,3,3
11031,male,170.6,86.5,left,25,asian,2,2
11037,male,180.9,97.2,left,43,white,3,3
11051,male,177.3,82.2,right,37,white,3,3
11064,male,173.4,84.2,right,31,white,2,2
11067,male,174.8,72.3,right,38,white,2,3
11082,male,165.1,89.6,right,32,hispanic,1,2
11093,male,172.4,75.5,right,20,hispanic,2,1
11095,male,186,73.2,right,23,white,3,1
11098,male,171.5,70.1,right,19,white,2,1
11101,male,175.7,78.3,left,28,white,2,2
11103,male,191.6,116.4,left,26,white,3,2
11112,male,184.7,79.9,right,27,black,3,2
11124,male,185.5,90.8,either,30,black,3,2
11125,male,171.8,67.7,right,25,white,2,2
11132,male,164.1,85.8,right,38,white,1,3
11134,male,183.3,85.2,right,25,white,3,2
11139,male,178.4,103.3,right,30,white,3,2
11142,male,177,103.4,right,24,black,3,1
11146,male,170.2,72.5,right,26,white,2,2
11147,male,180,71.1,right,29,white,3,2
11150,male,171.5,67.8,right,31,white,2,2
11158,male,184.2,78.2,right,24,white,3,1
11159,male,171,90.9,right,43,pacific_islander,2,3
11161,male,175.3,84,right,33,black,2,3
11170,male,193.5,108.6,right,24,white,3,1
11172,male,173.8,75.8,right,39,white,2,3
11174,male,177,83.3,right,21,white,3,1
11180,male,172,87,left,23,black,2,1
11182,male,167.3,72.8,either,24,asian,1,1
11183,male,171.5,110.9,right,50,white,2,3
11184,male,182.2,94.5,left,33,white,3,3
11190,male,191.3,114.1,right,22,white,3,1
11191,male,175.6,90.7,right,21,white,2,1
11192,male,173.5,84.6,right,27,white,2,2
11193,male,172.6,81.8,either,21,black,2,1
11194,male,171.6,86.9,right,23,hispanic,2,1
11195,male,171.7,68.2,left,37,white,2,3
11196,male,171.8,68,right,32,black,2,2
11197,male,174.7,94.7,right,28,hispanic,2,2
11198,male,156.7,47.4,right,23,black,1,1
11199,male,189.4,115.8,left,42,white,3,3
11203,male,173.8,72.9,right,22,white,2,1
11204,male,186.2,107.8,right,35,black,3,3
11214,male,165.4,54,right,31,white,1,2
11215,male,163.7,85.4,right,34,white,1,3
11216,male,173.8,87.1,right,25,hispanic,2,2
11217,male,181.3,107.1,right,37,black,3,3
11219,male,173.8,79.1,left,32,black,2,2
11222,male,181.5,109.6,right,27,white,3,2
11223,male,173.6,115,right,31,white,2,2
11226,male,168.9,86.6,right,23,white,2,1
11228,male,174,75.6,right,26,white,2,2
11231,male,178.2,83.4,right,34,white,3,3
11232,male,178.4,81.2,right,39,white,3,3
11233,male,164.7,84.5,right,23,white,1,1
11234,male,174,94.1,right,25,white,2,2
11235,male,166.4,64.4,right,25,hispanic,1,2
11236,male,180.5,112.4,right,35,black,3,3
11240,male,174.5,90.7,either,23,black,2,1
11241,male,160.5,71.8,right,23,black,1,1
11242,male,183,97.1,right,26,white,3,2
11244,male,181,81.3,right,31,white,3,2
11245,male,173.1,75.5,left,35,white,2,3
11249,male,184.5,79.7,right,27,hispanic,3,2
11251,male,177.5,64.8,right,33,hispanic,3,3
11253,male,179.5,107.9,right,28,white,3,2
11256,male,166.4,87.4,right,22,black,1,1
11257,male,175.2,98.2,right,23,white,2,1
11258,male,181.4,89.3,right,45,white,3,3
11265,male,183.6,108.7,right,39,white,3,3
11277,male,162.8,77.5,right,29,white,1,2
11278,male,164,80.1,right,39,asian,1,3
11283,male,172.8,87.4,right,23,white,2,1
11290,male,160.6,56.8,right,30,pacific_islander,1,2
11292,male,186.1,117.4,right,25,white,3,2
11296,male,176.1,86.3,right,50,hispanic,3,3
11299,male,175.4,97,right,40,black,2,3
11302,male,174.1,77.9,right,25,white,2,2
11305,male,165.7,55.6,right,27,white,1,2
11314,male,166,53.3,right,27,asian,1,2
11317,male,167.8,93.3,right,28,white,2,2
11322,male,173.5,86.6,right,42,black,2,3
11324,male,175,109.6,right,43,hispanic,2,3
11326,male,170.1,67.6,right,25,hispanic,2,2
11334,male,174.2,71.8,right,23,black,2,1
11341,male,181.8,91.6,left,22,white,3,1
11342,male,178.5,87.1,right,30,white,3,2
11343,male,166.6,70.1,right,34,black,1,3
11344,male,178.1,111.5,right,28,white,3,2
11345,male,180.2,108.4,right,25,white,3,2
11346,male,166.9,63.7,right,23,white,1,1
11347,male,183.7,96.4,right,25,white,3,2
11348,male,188.1,105.4,right,24,white,3,1
11351,male,178.2,88.7,right,26,white,3,2
11353,male,190,114.5,right,51,white,3,3
11354,male,175.5,89,right,26,white,2,2
11356,male,173,68.8,right,23,white,2,1
11357,male,162.4,71,right,44,hispanic,1,3
11359,male,175.5,102.1,right,30,white,2,2
11360,male,170.3,78.4,right,53,white,2,3
11361,male,176.2,110.5,right,29,white,3,2
11367,male,172,81.9,right,34,asian,2,3
11369,male,171.1,87.1,right,34,hispanic,2,3
11373,male,192.7,86.9,right,19,black,3,1
11374,male,178.4,77.5,right,31,white,3,2
11375,male,183.5,109.8,right,26,white,3,2
11376,male,182.3,96.5,left,31,hispanic,3,2
11378,male,164,67.4,either,28,white,1,2
11379,male,170.4,102.6,right,31,hispanic,2,2
11380,male,173,60.1,right,22,white,2,1
11384,male,165.6,67.6,right,26,white,1,2
11386,male,166.8,86.7,right,28,black,1,2
11411,male,163.5,82.6,right,32,white,1,2
11412,male,186.1,86.2,right,28,black,3,2
11417,male,166.7,82.1,right,25,hispanic,1,2
11418,male,176,67.5,right,21,white,3,1
11421,male,175.2,86,left,24,white,2,1
11422,male,188.6,95.4,right,25,white,3,2
11423,male,172.9,97,right,35,white,2,3
11427,male,179,89.5,right,25,white,3,2
11431,male,174.5,101.6,right,22,white,2,1
11432,male,167.7,75.8,right,25,white,2,2
11439,male,172.5,71.5,left,24,black,2,1
11440,male,174.8,88.4,right,29,white,2,2
11441,male,161,45.9,right,29,white,1,2
11445,male,170.5,75.6,right,40,white,2,3
11447,male,183.3,99.5,right,27,white,3,2
11450,male,182,113.8,left,36,white,3,3
11451,male,177.6,84,right,24,white,3,1
11452,male,179.1,111.4,right,24,black,3,1
11453,male,197,90.2,left,33,white,3,3
11459,male,181.4,92.4,right,30,black,3,2
11461,male,178.2,86,right,30,white,3,2
11462,male,171.7,84.2,right,36,black,2,3
11466,male,186,93.9,right,29,white,3,2
11468,male,176.3,92.1,left,22,asian,3,1
11474,male,162.4,72.4,right,22,black,1,1
11488,male,172.3,88.6,right,24,asian,2,1
11499,male,167.4,75.3,right,30,asian,1,2
11501,male,174.4,85.7,right,30,black,2,2
11505,male,174.8,98,right,36,black,2,3
