jokes,sex
8,male
13,male
12,male
7,male
15,male
10,male
6,male
10,male
8,male
9,male
10,male
9,male
11,male
9,male
12,male
11,male
10,male
9,male
11,male
10,male
12,male
8,male
9,male
6,male
10,male
8,male
9,male
12,male
9,male
9,male
12,female
10,female
8,female
12,female
11,female
7,female
10,female
10,female
14,female
6,female
11,female
12,female
10,female
10,female
12,female
10,female
14,female
14,female
10,female
9,female
10,female
9,female
10,female
13,female
9,female
10,female
11,female
11,female
11,female
9,female
