subject,item,accuracy,latency,length,frequency
1,ace,1,457,3,19.24
1,acorn,1,553,5,2.38
1,ale,1,453,3,6.63
1,almond,1,614,6,3.3
1,amir,0,671,4,1.27
1,amp,1,550,3,6.79
1,angel,1,518,5,15.17
1,anna,1,523,4,27.87
1,ant,1,481,3,4.43
1,anthem,1,534,6,3.07
1,antics,1,479,6,2.46
1,apex,1,645,4,3.21
1,april,1,493,5,147.07
1,apron,1,514,5,4.95
1,apse,1,563,4,1.23
1,aria,1,564,4,1.59
1,ark,1,693,3,3.25
1,ash,1,485,3,12.63
1,aspect,1,511,6,43.52
1,asset,1,577,5,20.46
1,asthma,1,521,6,6.53
1,athlete,1,507,7,3.66
1,atlas,1,470,5,2.59
1,aunt,1,771,4,30.68
1,aura,1,528,4,4.18
1,autumn,1,489,6,39.18
1,babe,1,556,4,2.01
1,bailiff,1,461,7,1.84
1,ballad,1,597,6,1.97
1,ballet,1,662,6,12.61
1,barn,1,500,4,13.33
1,baron,1,482,5,7.95
1,basalt,1,568,6,1.13
1,basin,1,490,5,12.17
1,basis,1,569,5,144.49
1,basket,1,534,6,13.51
1,beak,1,606,4,2.92
1,bean,1,537,4,5.34
1,beck,1,485,4,6.08
1,bee,1,467,3,5.23
1,beer,1,578,4,33.16
1,berry,1,689,5,4.71
1,beryl,1,689,5,3.32
1,beta,1,798,4,6.58
1,bird,1,550,4,39.55
1,biscuit,1,552,7,5.79
1,bishop,1,519,6,46.33
1,blah,1,573,4,4.39
1,bliss,1,629,5,3.9
1,boar,1,540,4,3.92
1,bog,1,505,3,3.58
1,boon,1,524,4,2.95
1,borough,1,575,7,19.15
1,bout,1,561,4,4.13
1,bracken,1,535,7,2.35
1,bran,1,553,4,1.77
1,bread,1,499,5,37.7
1,brick,1,594,5,18.61
1,briton,1,540,6,2.49
1,brooch,1,492,6,2.03
1,broom,1,543,5,3.32
1,broth,1,531,5,1.49
1,brothel,1,546,7,1.65
1,brow,1,625,4,7.86
1,brunt,1,577,5,2.21
1,bulb,1,604,4,4.5
1,bullet,1,494,6,7.17
1,bun,1,547,3,2.58
1,burton,1,800,6,8.18
1,cad,1,634,3,2.81
1,cadet,1,529,5,2.04
1,cairn,1,558,5,1.49
1,calf,1,501,4,6.48
1,cam,1,784,3,4.25
1,camel,1,491,5,4.19
1,campus,1,524,6,6.29
1,canal,1,473,5,21.63
1,candle,1,516,6,8.02
1,canon,1,550,5,9.91
1,canteen,1,528,7,5.64
1,canyon,1,463,6,2.54
1,cape,1,499,4,9.93
1,carcass,1,564,7,1.4
1,carton,1,488,6,1.57
1,caste,1,822,5,2.54
1,cello,1,511,5,1.92
1,census,1,596,6,10.37
1,cereal,1,500,6,4.77
1,chalet,1,528,6,1.27
1,cheddar,1,450,7,1.47
1,cheese,1,576,6,25.89
1,chef,1,496,4,7
1,chess,1,523,5,7.03
1,child,1,573,5,243.97
1,chin,1,595,4,16.11
1,choir,1,593,5,10.12
1,chore,1,630,5,1.44
1,chrome,1,667,6,1.93
1,cigar,1,714,5,4.9
1,circus,1,642,6,7.6
1,clause,1,459,6,36.32
1,clay,1,532,4,15.99
1,col,0,499,3,3.65
1,college,1,482,7,102.39
1,comet,1,469,5,2.64
1,condom,1,671,6,2.54
1,conduit,1,590,7,1.73
1,consul,1,503,6,2.09
1,convent,1,551,7,5.51
1,copse,1,531,5,1.25
1,cordon,1,472,6,1.61
1,cortex,1,554,6,3.69
1,costume,1,478,7,6.73
1,cotton,1,492,6,24.4
1,coup,1,531,4,16.97
