sex,iq,test_score
male,74,14.145710191932942
male,83,14.267739885978283
male,88,13.820222857489131
male,105,11.82934901038217
male,92,13.482800706665516
male,92,13.360101292077644
female,102,14.694284026085993
female,80,14.85875136228862
male,102,14.106811341207997
male,114,13.528752560406186
female,107,17.667122142548422
male,80,12.844664786246149
female,106,15.345395755726942
male,60,11.363684632107711
female,90,14.857112947610098
male,88,14.412724397271855
male,113,14.93719799869016
male,87,13.908119760424432
male,84,14.801456271229332
male,115,14.001968667297797
female,91,14.711829207386943
male,91,14.451939497701403
male,115,14.711590490624573
male,101,14.030216621760918
female,109,15.809386610865232
female,113,14.223980908252484
female,102,14.899893058046171
male,83,12.915803600476568
female,112,16.56344210241287
female,68,13.006320242212894
male,99,12.922742807999207
female,107,13.828585523117175
female,91,15.22075891733512
male,111,14.379205206462846
female,128,15.289724401248304
female,107,16.32104241171853
female,105,14.429849208224592
male,105,12.300274313801971
male,103,15.402718369305632
male,96,12.164816412934801
female,120,15.86793745832325
female,75,14.072478953688893
male,113,13.180174373440558
male,102,13.026708144230346
male,96,13.26136873017398
female,83,16.824200233306602
male,85,12.550176842695098
male,92,13.952551302396245
female,118,15.37592621195185
female,96,15.664518401515707
female,102,15.487456771050073
female,107,16.07071823929235
female,76,15.508690902397674
female,120,17.354115326458086
male,138,12.829157047900642
male,121,14.401441926477503
male,102,11.715610160758548
female,102,14.915838008200378
female,94,14.119114098652027
female,95,13.072483289528229
female,73,15.046671429821325
male,85,13.392506461268965
female,119,13.251994114169689
male,108,12.465225079257824
male,97,12.64899749611235
female,90,15.057880330076198
female,104,14.917927843572455
male,104,15.380709576017924
female,88,15.246652819098044
female,107,18.185852808664475
female,105,14.935149512530051
male,89,16.566954575831325
female,110,15.67590769042802
male,119,13.702810713242178
male,99,15.246843669889957
female,129,16.80645196537369
male,116,15.313519422278402
male,96,12.453943369643113
male,118,12.038233000164285
male,109,10.686553291847357
male,82,12.646915448629025
male,99,11.543775572957745
female,94,13.667027679653284
male,107,14.035976690964628
female,95,15.393293133061757
male,95,14.248411463118613
female,125,18.96209194050052
male,95,14.262737847037354
male,108,14.200582233852371
male,92,12.980471172148043
female,108,15.74958705091914
female,82,15.649111358591867
female,103,14.92583486885138
male,132,11.83756527357071
female,129,16.81702201491896
female,100,17.403185983279208
male,97,15.648908073291665
male,87,13.546670494398724
female,101,16.17999582862302
female,104,14.764219921338928
