height,sex
186,male
186,male
184,male
159,male
183,male
163,male
152,male
151,male
151,male
174,male
186,male
190,male
186,male
170,male
160,male
172,male
167,male
188,male
176,male
157,male
173,male
176,male
161,male
164,male
179,male
180,male
187,male
153,male
178,male
152,male
155,male
166,male
184,male
175,male
151,male
162,male
153,male
150,male
189,male
190,male
190,male
185,male
162,male
171,male
189,male
176,male
150,male
185,male
169,male
149,female
152,female
143,female
142,female
167,female
159,female
154,female
142,female
152,female
153,female
152,female
147,female
163,female
156,female
144,female
155,female
156,female
142,female
154,female
155,female
158,female
143,female
140,female
169,female
152,female
142,female
158,female
158,female
140,female
166,female
150,female
168,female
149,female
169,female
142,female
144,female
170,female
148,female
160,female
168,female
148,female
153,female
147,female
148,female
142,female
146,female
153,female
165,female
152,female
161,female
160,female
