participant_id,score_red,score_black
1,19,19
2,24,15
3,17,16
4,18,16
5,15,21
6,23,16
7,21,13
8,16,12
9,24,13
10,17,18
11,23,17
12,20,22
13,21,16
14,21,16
15,18,22
16,17,16
17,25,16
18,20,21
19,25,16
20,20,17
21,23,13
22,17,15
23,23,20
24,25,15
25,17,21
26,17,21
27,22,16
28,16,15
29,24,20
30,22,21
31,23,20
32,17,20
33,21,22
34,15,15
35,21,12
36,22,20
37,22,20
38,17,21
39,19,18
40,19,20
41,21,22
42,21,14
43,21,21
44,20,12
45,23,13
46,21,20
47,21,15
48,19,12
49,23,17
50,21,16
