narcissism,gender,age
18,male,50
6,male,40
27,male,28
29,male,37
6,male,50
19,male,27
3,male,45
7,female,36
20,female,24
23,female,20
6,male,25
30,female,18
8,male,43
13,female,31
34,male,48
12,male,36
2,male,52
17,male,35
12,male,51
14,female,30
14,male,29
5,male,37
13,male,16
12,female,27
14,male,42
23,female,41
7,male,37
2,female,38
14,female,20
9,male,28
18,male,19
33,male,29
28,male,34
12,female,31
15,male,19
22,male,34
11,male,36
5,male,33
12,male,56
18,female,27
6,female,44
24,male,30
25,male,41
15,male,38
13,male,48
7,female,38
16,female,34
22,male,22
9,female,49
5,male,36
22,male,17
12,female,48
15,female,19
6,male,44
22,male,20
21,male,21
19,female,35
7,female,43
15,female,19
17,male,37
2,male,23
31,male,57
7,female,53
16,male,47
7,male,30
39,male,30
40,male,22
3,male,52
30,male,18
10,male,56
6,male,48
8,female,45
1,male,31
15,female,43
15,female,27
0,male,56
8,male,29
4,male,21
11,male,23
7,female,20
11,male,17
12,female,36
6,female,20
22,male,15
11,female,39
14,male,39
23,male,52
4,female,34
21,male,32
19,female,23
4,male,49
11,female,34
19,female,19
15,male,21
8,male,55
39,male,48
8,male,18
26,male,24
23,male,16
23,male,59
5,male,46
36,male,39
2,female,30
27,male,30
4,male,40
10,male,31
6,male,54
9,male,32
4,male,22
14,male,44
17,male,44
10,male,36
10,male,32
8,male,47
21,female,25
10,male,29
12,male,59
0,male,44
4,male,27
5,female,57
10,male,31
3,female,52
27,male,19
15,female,30
11,female,21
17,male,47
10,male,24
11,male,36
19,male,46
17,female,40
7,male,44
12,female,21
15,female,48
7,female,26
18,male,22
23,male,20
8,female,34
11,female,27
11,male,29
11,male,24
5,male,49
4,male,42
15,male,30
21,male,25
13,male,23
9,male,41
7,male,36
27,male,50
4,male,31
11,female,22
38,female,24
9,male,24
15,female,26
30,female,33
10,male,55
16,male,32
29,female,34
6,male,36
7,female,37
11,female,31
23,male,30
21,female,50
25,female,27
3,male,52
20,male,25
3,female,49
3,female,25
15,male,35
14,male,25
15,male,29
29,male,51
5,female,45
12,male,23
11,female,23
5,female,38
3,female,19
4,male,52
6,male,22
20,male,19
13,male,24
2,female,35
15,male,33
19,female,31
11,female,22
3,female,58
25,male,26
13,male,58
14,female,21
24,female,23
17,female,35
4,female,31
25,male,36
5,male,29
17,female,45
20,male,27
5,male,24
23,male,45
15,female,45
14,male,32
3,male,17
8,female,45
26,female,27
3,male,37
11,female,26
37,male,33
3,male,15
3,female,44
4,male,30
8,female,41
6,female,36
11,male,23
6,male,27
14,male,33
5,male,26
8,male,33
6,female,40
6,female,23
20,male,29
5,female,30
39,female,26
6,male,36
15,male,34
16,male,15
12,female,34
22,male,15
12,female,43
6,female,43
15,male,21
15,female,31
0,male,40
14,female,17
2,female,39
6,male,20
12,male,38
10,female,37
22,female,30
10,female,30
14,female,40
2,female,59
20,male,43
21,female,52
30,male,28
19,female,28
9,female,32
28,female,28
9,male,30
6,female,24
17,female,23
7,male,20
11,male,29
8,female,24
23,male,16
9,female,40
25,male,43
29,male,46
7,male,53
12,male,18
13,male,55
5,male,23
5,male,50
21,female,56
35,female,29
10,female,17
6,female,34
14,female,43
6,female,40
8,male,29
6,female,40
26,male,27
21,female,24
21,female,24
28,female,32
22,female,21
23,male,29
19,male,38
4,male,20
16,male,54
14,female,17
6,female,24
27,male,42
10,female,32
20,female,24
9,female,31
1,male,47
13,male,44
23,male,21
3,female,30
22,male,41
39,female,28
9,male,36
6,female,40
21,male,33
22,male,44
14,female,57
4,male,31
39,female,52
3,male,44
10,male,41
9,male,28
33,male,20
26,male,19
20,female,44
14,male,48
5,male,39
17,female,26
7,male,49
20,male,35
2,female,40
1,male,43
6,female,40
9,male,30
17,male,21
33,male,19
9,male,25
10,male,25
17,male,37
27,female,28
26,male,30
3,male,40
10,male,24
2,male,33
2,male,45
4,female,35
4,male,31
5,male,58
32,female,49
3,male,19
3,male,43
12,female,46
3,male,39
25,male,34
37,female,35
8,male,47
1,male,41
10,male,21
8,female,34
3,male,50
18,male,31
27,female,27
34,male,18
9,male,32
6,female,25
8,male,48
16,male,33
3,male,17
33,male,19
24,female,40
10,male,29
5,female,45
3,female,19
30,male,36
19,male,22
31,male,28
2,male,36
7,male,29
22,male,22
14,male,19
14,female,19
38,male,19
8,male,24
8,male,43
1,female,33
11,male,36
32,male,41
21,male,33
31,male,30
4,male,28
18,female,26
11,male,26
27,male,24
18,female,22
5,male,22
14,female,22
21,male,27
21,male,46
11,female,17
14,female,29
15,female,53
7,female,27
17,female,27
28,male,21
19,male,31
15,male,28
9,female,27
7,female,53
9,female,22
20,male,20
7,female,46
4,male,55
26,female,35
13,female,51
9,female,32
16,female,44
10,male,51
36,female,45
2,male,49
20,female,19
28,female,33
19,male,31
23,female,30
13,male,52
5,female,52
6,male,29
7,female,47
4,male,47
9,female,22
9,male,23
19,male,30
5,female,40
9,male,19
26,male,25
12,male,17
15,male,23
13,male,24
12,male,25
6,male,23
9,female,49
9,female,17
27,female,17
19,male,18
1,male,17
24,male,17
19,female,17
10,female,17
11,female,17
8,female,18
4,male,17
9,male,18
22,female,18
18,male,25
28,female,41
25,male,32
6,male,34
4,female,25
14,female,18
12,female,33
1,female,36
11,female,41
12,male,42
8,male,45
8,male,57
5,female,49
12,male,27
10,male,44
5,male,22
15,female,46
10,female,22
15,male,50
13,female,32
6,female,29
30,male,24
8,male,46
12,male,25
7,female,58
37,male,34
8,female,54
13,male,19
11,female,25
17,male,28
7,male,55
19,male,36
26,male,41
15,male,58
16,male,37
8,male,31
10,male,24
33,male,16
11,female,17
6,male,24
11,male,26
17,female,36
8,female,52
13,male,24
16,female,24
10,male,35
35,male,21
6,male,40
10,male,22
14,male,30
12,male,41
24,male,23
10,male,29
14,male,46
2,female,31
9,female,31
17,female,17
39,female,18
25,male,49
2,male,55
25,male,32
22,male,18
10,female,56
4,female,46
38,male,22
9,female,31
11,female,52
13,male,18
14,male,30
12,male,25
8,male,24
8,male,24
7,male,18
7,female,31
29,male,18
23,female,53
18,female,36
15,male,27
15,male,45
3,female,15
18,male,38
12,male,21
9,male,30
14,male,22
8,male,20
11,male,50
37,male,38
22,male,26
3,female,54
40,male,25
38,female,23
7,male,56
27,male,24
9,male,24
19,male,25
13,male,46
10,female,34
16,male,47
10,male,18
10,female,40
11,male,49
5,female,34
10,male,21
8,male,16
6,male,52
13,female,23
10,male,39
14,female,34
16,female,46
