time,group
22.90740679,noswear
35.38617395,noswear
31.81754315,noswear
25.88862133,noswear
41.10452687,noswear
25.63579934,noswear
28.40884397,noswear
42.20292388,noswear
42.1505965,noswear
31.0844579,noswear
24.30558281,noswear
32.50842412,noswear
28.86642125,noswear
17.73861049,noswear
33.85725185,noswear
23.5809985,noswear
46.9634153,noswear
29.81041179,noswear
36.5395154,noswear
36.6022357,noswear
46.00340345,swear
60.90033527,swear
50.66494876,swear
61.14479494,swear
40.31349841,swear
37.73898599,swear
34.76660998,swear
25.62184473,swear
47.77147289,swear
59.08353667,swear
47.73129189,swear
52.55525069,swear
41.50981589,swear
39.53809241,swear
47.34361995,swear
42.02171778,swear
36.59523867,swear
53.26510356,swear
59.83691231,swear
51.99675641,swear
