rightwing,gender,age,extraverted,critical,dependable,anxious,open,reserved,sympathetic,disorganized,calm,conventional
27,male,18,6,3,4,5,6,2,7,6,5,2
39,male,62,6,3,6,4,7,3,7,4,4,1
94,male,16,1,7,7,6,6,7,2,4,1,1
25,female,59,3,6,1,6,6,5,4,1,3,1
52,female,49,1,7,2,7,3,7,1,5,1,7
59,male,29,3,5,4,3,6,6,3,6,5,2
24,female,22,2,3,5,7,2,3,4,7,3,1
45,male,55,4,6,6,2,6,5,6,4,6,3
21,male,24,1,6,3,3,7,7,6,5,5,2
36,female,18,1,6,5,7,2,7,5,5,1,3
25,female,15,1,4,5,7,1,7,6,3,1,5
49,female,35,5,5,5,6,5,1,6,3,5,1
29,male,50,5,5,5,2,7,4,5,5,6,6
32,male,31,4,5,4,1,6,5,3,7,7,2
114,female,18,2,5,0,6,6,7,5,7,4,3
44,female,28,6,6,6,6,7,2,6,4,4,4
34,female,18,6,3,6,7,7,5,7,1,5,1
23,female,18,5,1,2,5,7,6,7,7,6,2
93,male,20,6,7,6,3,5,4,6,5,6,6
33,female,32,6,6,1,6,7,2,6,5,2,2
31,male,53,1,2,3,2,6,7,6,7,2,3
30,male,20,7,6,6,2,7,1,7,4,6,7
94,female,26,5,5,7,5,5,5,5,2,3,2
25,female,31,2,4,6,5,7,6,7,2,5,1
56,female,15,2,2,6,6,4,6,6,3,4,2
55,male,24,5,6,3,3,4,3,6,5,5,5
41,female,32,1,6,6,6,3,7,3,5,5,5
24,male,44,2,1,7,2,7,7,2,3,7,1
107,female,62,6,3,6,2,6,6,6,2,6,2
84,female,26,5,5,3,1,6,5,2,7,6,5
37,female,30,6,6,5,7,6,2,6,5,5,3
33,male,18,1,5,5,5,6,6,3,7,1,4
106,male,58,3,2,7,4,6,5,4,2,6,4
31,male,16,5,6,3,3,7,5,6,7,3,2
151,male,14,5,5,7,1,6,6,1,1,6,1
70,female,17,1,2,6,5,6,7,2,2,6,2
47,female,61,4,5,6,1,6,4,2,1,6,2
73,male,16,5,6,3,5,5,4,5,7,3,4
62,female,48,1,5,1,7,4,6,5,7,1,4
47,male,17,5,7,7,7,7,7,4,5,5,7
30,male,25,2,5,5,2,7,7,5,5,5,1
52,female,17,3,4,6,7,6,7,5,1,4,2
76,male,23,1,6,6,2,2,6,1,2,6,7
32,male,18,4,6,6,4,7,4,7,6,7,3
107,male,46,2,5,6,6,3,3,6,1,2,5
50,male,34,3,6,7,4,3,5,6,1,6,3
33,male,18,2,5,6,2,7,7,6,6,7,2
124,male,15,3,2,5,4,6,7,4,6,7,1
43,male,18,5,5,6,6,6,6,6,5,5,3
60,female,16,2,5,5,6,7,7,4,5,5,2
97,male,49,3,4,6,2,5,6,5,2,6,6
39,female,15,6,7,2,7,7,5,3,6,1,1
27,female,30,2,6,1,6,2,7,7,5,3,3
180,male,22,7,7,7,1,1,2,2,1,7,2
108,male,15,5,5,6,7,5,7,7,7,2,1
36,male,14,6,5,3,3,5,3,3,6,4,3
59,male,24,3,5,6,1,2,5,6,2,7,2
39,female,15,3,5,7,3,6,6,5,2,5,2
51,female,21,1,5,1,7,5,7,4,5,2,3
70,male,15,3,7,7,4,7,5,2,2,5,3
99,male,53,6,7,6,5,5,6,2,7,6,7
44,female,15,7,7,5,3,4,1,3,5,4,3
40,male,51,5,3,6,5,6,6,6,2,1,1
58,male,19,5,4,6,4,7,5,6,3,7,3
28,female,17,2,5,3,5,5,7,7,6,3,1
103,male,42,3,1,5,5,4,7,5,1,6,5
35,female,18,5,6,5,4,6,5,5,4,2,2
35,female,16,5,6,7,5,5,4,5,2,5,2
34,female,18,5,6,3,6,5,7,6,5,3,1
67,female,17,2,6,1,7,4,6,5,6,1,4
96,male,36,1,1,6,2,5,7,5,5,6,5
32,female,19,1,7,1,7,2,7,3,1,1,3
126,female,25,4,6,5,4,3,5,4,4,6,4
46,male,19,1,5,5,2,5,7,3,5,7,5
27,male,24,6,7,4,5,7,2,5,2,3,1
54,female,21,3,5,5,5,7,5,5,5,6,2
71,male,49,5,5,4,3,6,6,5,7,5,1
52,male,61,6,5,5,2,6,5,6,6,5,2
86,male,23,2,6,6,4,6,6,3,3,1,1
34,male,24,1,5,5,6,7,7,3,5,5,5
67,male,16,1,1,1,5,5,6,5,6,4,3
87,male,24,6,4,6,2,7,4,3,4,5,3
25,female,17,6,5,6,5,6,2,6,2,6,3
34,male,28,1,7,7,2,7,7,4,2,6,1
25,female,14,3,3,7,5,7,3,5,7,3,1
29,female,23,4,5,3,6,7,4,6,5,1,1
35,female,18,2,6,7,6,6,6,5,1,4,5
43,male,16,1,1,7,1,6,7,2,2,5,2
36,male,33,2,3,6,2,7,5,6,3,6,2
23,female,26,6,6,5,5,7,3,5,5,3,1
105,female,33,1,5,6,6,3,4,3,3,5,3
39,male,23,2,6,5,5,6,6,5,5,6,3
27,male,17,3,6,5,4,5,6,7,3,2,1
150,female,15,2,6,3,3,6,7,5,6,7,1
78,female,14,5,4,2,6,5,5,4,6,3,2
60,female,64,2,2,7,6,6,6,7,6,5,1
45,male,69,2,2,7,4,6,7,5,1,6,1
35,female,44,1,5,7,6,5,1,3,1,3,2
46,female,41,2,4,5,1,6,6,3,5,6,4
32,male,42,1,4,7,1,7,6,7,1,6,1
73,male,15,4,7,4,1,5,6,1,6,6,3
33,female,37,4,6,3,6,6,3,6,6,4,3
67,male,19,6,3,2,3,5,5,6,5,5,1
85,male,32,7,5,1,1,7,2,7,5,7,1
96,male,16,2,7,5,6,5,7,3,6,2,7
82,male,44,5,4,3,2,5,3,3,4,5,4
40,male,21,1,2,5,7,6,7,7,1,3,1
60,female,19,3,1,4,2,6,7,6,5,6,1
142,male,29,2,2,7,3,4,7,6,3,6,4
105,male,40,4,6,5,5,3,7,2,2,4,2
20,male,15,6,2,7,4,7,3,2,2,7,2
41,male,27,3,1,6,5,6,6,7,3,3,3
49,male,24,4,6,7,1,7,5,2,2,6,2
123,male,17,5,7,6,2,5,7,5,5,7,3
70,male,17,1,6,5,2,5,7,2,3,6,5
43,male,17,5,6,6,1,7,3,1,1,1,2
37,male,17,4,4,7,2,7,5,7,2,6,2
41,male,56,5,2,3,5,7,2,6,3,3,5
