Condition,Intrusion
Control,5
Control,4
Control,0
Control,0
Control,10
Control,0
Control,1
Control,7
Control,5
Control,3
Control,3
Control,2
Control,7
Control,4
Control,5
Control,2
Control,0
Control,3
Reactivate&Tetris,0
Reactivate&Tetris,0
Reactivate&Tetris,0
Reactivate&Tetris,0
Reactivate&Tetris,3
Reactivate&Tetris,2
Reactivate&Tetris,4
Reactivate&Tetris,6
Reactivate&Tetris,1
Reactivate&Tetris,3
Reactivate&Tetris,1
Reactivate&Tetris,0
Reactivate&Tetris,0
Reactivate&Tetris,0
Reactivate&Tetris,0
Reactivate&Tetris,0
Reactivate&Tetris,0
Reactivate&Tetris,0
TetrisOnly,5
TetrisOnly,0
TetrisOnly,0
TetrisOnly,0
TetrisOnly,8
TetrisOnly,4
TetrisOnly,6
TetrisOnly,5
TetrisOnly,5
TetrisOnly,5
TetrisOnly,0
TetrisOnly,4
TetrisOnly,1
TetrisOnly,6
TetrisOnly,2
TetrisOnly,2
TetrisOnly,1
TetrisOnly,2
ReactivateOnly,6
ReactivateOnly,3
ReactivateOnly,5
ReactivateOnly,0
ReactivateOnly,4
ReactivateOnly,0
ReactivateOnly,4
ReactivateOnly,6
ReactivateOnly,5
ReactivateOnly,6
ReactivateOnly,2
ReactivateOnly,6
ReactivateOnly,6
ReactivateOnly,4
ReactivateOnly,6
ReactivateOnly,7
ReactivateOnly,3
ReactivateOnly,2
