y,x,z
4.2,A,A
11.5,A,A
7.3,A,A
5.8,A,A
6.4,A,A
10,A,A
11.2,A,A
11.2,A,A
5.2,A,A
7,A,A
16.5,B,A
16.5,B,A
15.2,B,A
17.3,B,A
22.5,B,A
17.3,B,A
13.6,B,A
14.5,B,A
18.8,B,A
15.5,B,A
23.6,C,A
18.5,C,A
33.9,C,A
25.5,C,A
26.4,C,A
32.5,C,A
26.7,C,A
21.5,C,A
23.3,C,A
29.5,C,A
15.2,A,B
21.5,A,B
17.6,A,B
9.7,A,B
14.5,A,B
10,A,B
8.2,A,B
9.4,A,B
16.5,A,B
9.7,A,B
19.7,B,B
23.3,B,B
23.6,B,B
26.4,B,B
20,B,B
25.2,B,B
25.8,B,B
21.2,B,B
14.5,B,B
27.3,B,B
25.5,C,B
26.4,C,B
22.4,C,B
24.5,C,B
24.8,C,B
30.9,C,B
26.4,C,B
27.3,C,B
29.4,C,B
23,C,B
